code,label
01023130,Aircraft — Aircraft systems — Indicating/recording systems — Data recorders (flight/maint)
01023140,Aircraft — Aircraft systems — Indicating/recording systems — Central computers (e.g. EICAS)
01023150,Aircraft — Aircraft systems — Indicating/recording systems — Central warning
01023160,Aircraft — Aircraft systems — Indicating/recording systems — Central display
01023170,Aircraft — Aircraft systems — Indicating/recording systems — Automatic data
01023197,Aircraft — Aircraft systems — Indicating/recording systems — Instrument wiring
01023200,Aircraft — Aircraft systems — Landing gear system — (general)
01023201,Aircraft — Aircraft systems — Landing gear system — Landing gear/wheel fairing
01023210,Aircraft — Aircraft systems — Landing gear system — Main landing gear
01023211,Aircraft — Aircraft systems — Landing gear system — Main landing gear attach sec
01023212,Aircraft — Aircraft systems — Landing gear system — Emergency floatation section
01023213,Aircraft — Aircraft systems — Landing gear system — Main gear strut/axle/truck
01023220,Aircraft — Aircraft systems — Landing gear system — Nose/tail landing gear
01023221,Aircraft — Aircraft systems — Landing gear system — Nose/tail gear attach section
01023222,Aircraft — Aircraft systems — Landing gear system — Nose/tail gear strut/axle
01023230,Aircraft — Aircraft systems — Landing gear system — Gear extension and retract sys
01023231,Aircraft — Aircraft systems — Landing gear system — Landing gear door retract sec
01023232,Aircraft — Aircraft systems — Landing gear system — Landing gear door actuator
01023233,Aircraft — Aircraft systems — Landing gear system — Landing gear actuator
01023234,Aircraft — Aircraft systems — Landing gear system — Landing gear selector
01023240,Aircraft — Aircraft systems — Landing gear system — Landing gear brakes system
01023241,Aircraft — Aircraft systems — Landing gear system — Anti-skid section
01023242,Aircraft — Aircraft systems — Landing gear system — Brake
01023243,Aircraft — Aircraft systems — Landing gear system — Master cylinder/brake valve
01023244,Aircraft — Aircraft systems — Landing gear system — Tire casing
01023245,Aircraft — Aircraft systems — Landing gear system — Tube
01023246,Aircraft — Aircraft systems — Landing gear system — Wheel/ski/float
01023250,Aircraft — Aircraft systems — Landing gear system — Landing gear steering system
01023251,Aircraft — Aircraft systems — Landing gear system — Steering unit
01023252,Aircraft — Aircraft systems — Landing gear system — Shimmy damper
01023260,Aircraft — Aircraft systems — Landing gear system — Gear position and warning
01023270,Aircraft — Aircraft systems — Landing gear system — Aux gear (tail/rotorcrft skid)
01023297,Aircraft — Aircraft systems — Landing gear system — Land gear sys wiring
01023300,Aircraft — Aircraft systems — Lighting system — (general)
